harmonics,rms_error
1,0.4361678977167598
2,0.4361678977167598
3,0.3166552677506614
4,0.3166552677506614
5,0.26054085530097104
6,0.26054085530097104
7,0.2266212261235719
8,0.2266212261235719
9,0.20337524766514928
10,0.20337524766514928
11,0.18620043970453506
12,0.18620043970453506
13,0.1728596704620036
14,0.1728596704620036
15,0.16211993075114783
16,0.16211993075114783
17,0.15323926640860278
18,0.15323926640860278
19,0.1457412366895552
20,0.1457412366895552
21,0.13930418104175882
22,0.13930418104175882
23,0.1337021109782732
24,0.1337021109782732
25,0.128771017880914
26,0.128771017880914
27,0.12438862283524661
28,0.12438862283524661
29,0.12046166156380302
30,0.12046166156380302
31,0.11691760202245156
32,0.11691760202245156
33,0.11369907789200562
34,0.11369907789200562
35,0.11076004504265966
36,0.11076004504265966
37,0.10806306449229801
38,0.10806306449229801
39,0.10557734153613471
40,0.10557734153613471
41,0.10327728439707369
42,0.10327728439707369
43,0.10114142725615242
44,0.10114142725615242
45,0.09915161361765254
46,0.09915161361765254
47,0.09729236879267933
48,0.09729236879267933
49,0.09555041185067399
50,0.09555041185067399
51,0.09391427184132642
52,0.09391427184132642
53,0.09237398295321667
54,0.09237398295321667
55,0.09092084011993726
56,0.09092084011993726
57,0.08954720140639232
58,0.08954720140639232
59,0.08824632695284733
60,0.08824632695284733
61,0.08701224674728758
62,0.08701224674728758
63,0.08583965132242083
64,0.08583965132242083
65,0.08472380082567713
66,0.08472380082567713
67,0.08366044892212679
68,0.08366044892212679
69,0.08264577875439856
70,0.08264577875439856
71,0.08167634876615981
72,0.08167634876615981
73,0.08074904664348145
74,0.08074904664348145
75,0.07986104997533972
76,0.07986104997533972
77,0.07900979250533197
78,0.07900979250533197
79,0.07819293505958891
80,0.07819293505958891
81,0.07740834040434942
82,0.07740834040434942
83,0.07665405142083989
84,0.07665405142083989
85,0.07592827209258984
86,0.07592827209258984
87,0.0752293508869185
88,0.0752293508869185
89,0.07455576618246607
90,0.07455576618246607
91,0.07390611345175702
92,0.07390611345175702
93,0.07327909395449944
94,0.07327909395449944
