harmonics,rms_error
1,0.36271514592789067
2,0.2845236027602357
3,0.24178856969465334
4,0.21403402605597513
5,0.19420172502589791
6,0.1791432918380278
7,0.16721911004483667
8,0.1574815696730051
9,0.1493402948395959
10,0.1424059730826158
11,0.13641019157769205
12,0.13116113653805545
13,0.12651762865273386
14,0.12237315661956723
15,0.11864565822785902
16,0.11527075489551758
17,0.11219714069142571
18,0.10938335964270143
19,0.10679550314139447
20,0.10440553241585544
21,0.10219003503265266
22,0.10012928872014235
23,0.09820654664179379
24,0.0964074847855013
25,0.09471976974783936
26,0.09313271710632062
27,0.09163701877304972
28,0.09022452345758937
29,0.08888805843569401
30,0.08762128374656693
31,0.08641857207169258
32,0.08527490911734067
33,0.08418581049085551
34,0.0831472519390262
35,0.08215561048327297
36,0.08120761449656053
37,0.08030030116070362
38,0.07943098004898003
39,0.0785972018188831
40,0.07779673118909138
41,0.077027523524972
42,0.07628770447694284
43,0.07557555221243129
44,0.07488948186005799
45,0.07422803184792462
46,0.07358985186950749
47,0.07297369225299266
48,0.0723783945447566
49,0.07180288314654851
50,0.07124615786989656
51,0.07070728729125005
52,0.0701854028081061
53,0.06967969331043139
54,0.06918940039354866
55,0.06871381404868886
56,0.0682522687759261
57,0.06780414007146292
58,0.06736884124742334
59,0.0669458205476154
60,0.06653455852727748
61,0.06613456566874452
62,0.06574538020835542
63,0.065366566152853
64,0.06499771146607013
65,0.06463842640890588
66,0.06428834201752265
67,0.06394710870637753
68,0.06361439498417526
69,0.06328988627212097
70,0.06297328381498779
71,0.06266430367651349
72,0.0623626758115228
73,0.06206814320795215
74,0.061780461092642895
75,0.06149939619538284
76,0.06122472606621853
77,0.06095623844154536
78,0.06069373065491405
79,0.06043700908887681
80,0.060185888664540624
81,0.0599401923658038
82,0.05969975079552764
83,0.059464401761143225
84,0.05923398988741654
85,0.0590083662542955
86,0.05878738805794372
87,0.058570918293228656
88,0.0583588254560796
89,0.05815098326426451
90,0.05794727039525499
91,0.057747570239958905
92,0.05755177067119931
93,0.057359763825908364
94,0.057171445900088165
95,0.05698671695566407
96,0.0568054807384251
97,0.05662764450630819
98,0.056453118867339426
99,0.05628181762659854
100,0.056113657641618735
101,0.0559485586856793
102,0.055786443318487394
103,0.055627236763782305
104,0.05547086679342884
105,0.05531726361759807
106,0.055166359780661686
107,0.05501809006245255
108,0.05487239138456727
109,0.05472920272141138
110,0.054588465015704836
111,0.05445012109818745
112,0.054314115611279495
113,0.05418039493646982
114,0.054048907125219
115,0.053919601833177754
116,0.053792430257535266
117,0.053667345077322966
118,0.05354430039651054
119,0.053423251689741554
120,0.05330415575056539
121,0.05318697064203134
122,0.05307165564951818
123,0.05295817123568172
124,0.05284647899740815
125,0.05273654162466942
126,0.05262832286118176
127,0.05252178746677541
128,0.05241690118138777
129,0.05231363069059872
130,0.05221194359263012
131,0.05211180836673722
132,0.052013194342922967
133,0.051916071672910645
134,0.051820411302313046
135,0.05172618494394139
136,0.0516333650521983
137,0.0515419247985042
138,0.05145183804770778
139,0.05136307933543441
140,0.05127562384632898
141,0.05118944739315185
142,0.051104526396688596
143,0.051020837866436484
144,0.05093835938203258
145,0.05085706907539005
146,0.050776945613511155
147,0.05069796818194658
148,0.050620116468873384
149,0.050543370649763414
150,0.05046771137261752
151,0.050393119743740354
152,0.05031957731403316
153,0.050247066065782046
154,0.050175568399921044
155,0.05010506712374979
156,0.05003554543908675
157,0.04996698693084018
158,0.0498993755559793
159,0.04983269563288955
160,0.049766931831095644
161,0.04970206916133863
162,0.04963809296599131
163,0.04957498890979953
164,0.0495127429709361
165,0.04945134143235479
166,0.04939077087343244
167,0.049331018161888895
168,0.04927207044597255
169,0.04921391514690241
170,0.049156539951556076
171,0.04909993280539483
172,0.049044081905616536
173,0.04898897569452757
174,0.048934602853125925
175,0.04888095229488757
176,0.048828013159748135
177,0.04877577480827311
178,0.0487242268160098
179,0.048673358968013655
180,0.04862316125354348
181,0.048573623860918874
182,0.04852473717253435
183,0.04847649176002469
184,0.048428878379575505
185,0.048381887967374596
186,0.048335511635199
187,0.04828974066613248
188,0.04824456651040985
189,0.04819998078138276
190,0.048155975251603346
191,0.04811254184902186
192,0.04806967265329369
193,0.04802735989219282
194,0.04798559593812784
195,0.04794437330475687
196,0.04790368464369838
197,0.047863522741334825
198,0.04782388051570544
199,0.04778475101348613
200,0.047746127407052814
201,0.04770800299162598
202,0.047670371182493704
203,0.04763322551231048
204,0.04759655962846965
205,0.04756036729054704
206,0.047524642367813265
207,0.047489378836812916
208,0.04745457077900834
209,0.04742021237848609
210,0.04738629791972365
211,0.04735282178541556
212,0.04731977845435585
213,0.047287162499376076
214,0.04725496858533681
215,0.04722319146717077
216,0.04719182598797677
217,0.04716086707716191
218,0.047130309748631506
219,0.04710014909902475
220,0.04707038030599503
221,0.04704099862653332
222,0.047011999395333855
223,0.04698337802320012
224,0.04695512999549075
225,0.04692725087060357
226,0.04689973627849706
227,0.04687258191924812
228,0.046845783561644705
229,0.04681933704181275
230,0.04679323826187657
231,0.0467674831886511
232,0.04674206785236561
233,0.04671698834541809
234,0.04669224082115898
235,0.04666782149270369
236,0.046643726631773345
237,0.046619952567562475
238,0.04659649568563337
239,0.046573352426836086
240,0.04655051928625337
241,0.04652799281217034
242,0.046505769605067325
243,0.046483846316636164
244,0.0464622196488188
245,0.04644088635286768
246,0.04641984322842755
247,0.04639908712263776
248,0.046378614929254915
249,0.04635842358779501
250,0.04633851008269476
251,0.04631887144249134
252,0.04629950473902064
253,0.04628040708663284
254,0.046261575641425155
255,0.0462430076004916
256,0.046224700201188976
257,0.046206650720418574
258,0.04618885647392373
259,0.04617131481560221
260,0.046154023136833575
261,0.04613697886582056
262,0.04612017946694491
263,0.04610362244013654
264,0.046087305320256004
265,0.04607122567649038
266,0.046055381111761155
267,0.04603976926214506
268,0.0460243877963066
269,0.04600923441494255
270,0.04599430685023782
271,0.045979602865332446
272,0.045965120253799875
273,0.04595085683913541
274,0.04593681047425546
275,0.04592297904100658
276,0.045909360449685084
277,0.04589595263856553
278,0.045882753573439246
279,0.04586976124716178
280,0.04585697367920968
281,0.04584438891524572
282,0.045832005026692914
283,0.0458198201103172
284,0.045807832287817755
285,0.045796039705425826
286,0.04578444053351106
287,0.045773032966195906
288,0.04576181522097708
289,0.04575078553835451
290,0.04573994218146751
291,0.04572928343573791
292,0.04571880760851986
293,0.04570851302875642
294,0.04569839804664301
295,0.04568846103329657
296,0.045678700380431564
297,0.04566911450004158
298,0.04565970182408757
299,0.045650460804191245
300,0.04564138991133454
301,0.04563248763556468
302,0.045623752485704466
303,0.045615182989068345
304,0.04560677769118311
305,0.04559853515551441
306,0.04559045396319774
307,0.045582532712774515
308,0.04557477001993288
309,0.045567164517253546
310,0.045559714853959696
311,0.04555241969567175
312,0.045545277724166486
313,0.04553828763714039
314,0.045531448147977216
315,0.045524757985519866
316,0.04551821589384616
317,0.045511820632048595
318,0.04550557097401801
319,0.04549946570823094
320,0.04549350363754106
321,0.0454876835789738
322,0.04548200436352486
323,0.04547646483596211
324,0.04547106385463097
325,0.04546580029126305
326,0.04546067303078824
327,0.045455680971150006
328,0.04545082302312372
329,0.04544609811013821
330,0.04544150516810022
331,0.045437043145222025
332,0.04543271100185191
333,0.04542850771030764
334,0.04542443225471212
335,0.045420483630832856
336,0.04541666084592295
337,0.04541296291856585
338,0.04540938887852191
339,0.04540593776657776
340,0.045402608634398225
341,0.04539940054438061
342,0.04539631256951137
343,0.045393343793225245
344,0.04539049330926683
345,0.045387760221553726
346,0.04538514364404295
347,0.045382642700598476
348,0.04538025652486183
349,0.04537798426012423
350,0.04537582505920095
351,0.04537377808430762
352,0.04537184250693868
353,0.0453700175077476
354,0.0453683022764292
355,0.04536669601160381
356,0.04536519792070293
357,0.045363807219857326
358,0.04536252313378608
359,0.04536134489568843
360,0.04536027174713637
361,0.045359302937969345
362,0.045358437726190685
363,0.04535767537786535
364,0.045357015167019656
365,0.04535645637554219
366,0.045355998293086654
367,0.045355640216975496
368,0.0453553814521062
369,0.045355221310857646
370,0.04535515911299916
371,0.045355194185600065
372,0.045355325862941054
373,0.04535555348642682
374,0.04535587640449996
375,0.04535629397255631
376,0.04535680555286142
377,0.045357410514468496
378,0.04535810823313718
379,0.045358898091254124
380,0.04535977947775413
381,0.04536075178804314
382,0.04536181442392181
383,0.04536296679351053
384,0.04536420831117548
385,0.04536553839745564
386,0.04536695647899141
387,0.04536846198845342
388,0.045370054364473396
389,0.045371733051575006
390,0.04537349750010676
391,0.0453753471661749
392,0.045377281511578195
393,0.045379300003742996
394,0.04538140211565959
395,0.04538358732581939
396,0.04538585511815292
397,0.045388204981969146
398,0.045390636411895
399,0.04539314890781647
400,0.04539574197481988
